"Date"	"Heure"	"DEL1"	"DEL2"	"DEL3"	"DEL4"	"DEL5"	"DEL6"	"DEL7"
"1"	"03/01/22"	"11:05:28"	-603.480677139068	-457.252993740664	-4577.28340025942	-370.128232605146	220.880557457223	599.849217936841	96.0652801455557
"2"	"03/01/22"	"15:31:36"	55.0808907252636	-52.4295150041895	23.8904570917165	29.0015176943534	-221.284739162144	104.256193944896	95.4272732578472
"3"	"03/01/22"	"15:44:20"	-35.631926591969	-214.814610512798	-0.270183949301455	50.8112835376209	-40.9608412757553	34.4769268740688	14.4930335439271
"4"	"03/01/22"	"16:00:11"	11.9508974374791	-175.206803017849	36.8803098873798	-59.5210058810795	-11.6297491328402	21.0409540534868	4.76650472878008
"5"	"03/01/22"	"16:33:59"	83.1001267745901	12.4047093159222	38.1008705756316	65.4723042026069	14.6602868152646	69.2313455043038	70.4242043307437
"6"	"03/02/22"	"09:55:22"	60.0050810744066	1669.68404447917	2988.67153773431	3785.94215962683	69189.1280948409	-971.205180270467	-551.945849167987
"7"	"03/02/22"	"10:05:17"	1236.75930700232	392.617994409745	915.65393326897	-6299.97375213968	-6767.160354497	6367.37598127138	316.125040235493
"8"	"03/02/22"	"10:09:05"	-63.6972200602344	-168.280547883278	771.305654146937	-194.114183831133	-202.327620093318	-3927.65399850863	654.894178465414
"9"	"03/02/22"	"10:18:16"	-231.616964229464	-206.880992614465	173.403888135714	953.068926194487	-117.553619058367	89.4327222445021	-1140.62229083632
"10"	"03/02/22"	"10:58:20"	19439.407728463	24718.3580421591	57008.7576287135	41109.3342074524	69950.7123630242	35483.3468862627	67072.6881588794
"11"	"03/02/22"	"11:16:16"	102.994301060222	796.612474867956	158.53969279314	-532.006363672785	-183.329015157839	-197.791963088051	374.973309757278
"12"	"03/03/22"	"08:39:54"	186.409032697857	453.642289170892	599.189799419062	624.03023135077	2772.5930959569	-1755.99242674468	321.31264208069
"13"	"03/03/22"	"08:52:00"	222.752368851747	623.876571634256	90.7887589089643	465.753010283807	-73.618302984555	108.377189560574	67.767462151167
"14"	"03/03/22"	"09:00:00"	-175.548806469113	-215.087506244891	-23.5525996522851	21.9990891343968	-161.145888707643	-31.9257612686307	148.387049007385
"15"	"03/03/22"	"09:30:47"	41.2614869008545	200.996791392634	390.940681466357	124.919218249758	232.50370004099	383.930949528247	209.879476810807
"16"	"03/03/22"	"09:47:47"	2959.10351450389	-22.2774676539588	191.628787585491	23.3475022688046	-489.084777373482	150.838038587787	43.0183154218436
"17"	"03/03/22"	"10:05:29"	1065.19365072415	372.978440353549	117.476663484773	91.3260369436671	-10.0876389384265	12.4726744468842	149.601125205384
"18"	"03/07/22"	"15:43:33"	106.335462739151	-78.4631799813338	572.563042862548	518.201916195102	1736.592800512	1141.52158933334	-2782.29462303303
"19"	"03/07/22"	"15:49:43"	238.026540194603	-1077.25602930504	926.256321996215	-215.792746273234	-969.370568407535	935.15608026186	631.518909553463
"20"	"03/07/22"	"16:19:07"	491.870903454879	1829.43516837928	2402.12117630661	7032.02227466819	7850.90246735854	6105.49886197693	6577.01145020602
"21"	"03/07/22"	"16:38:42"	6783.64986709285	2381.26823597866	6743.80317600681	10260.0253922719	3875.63622447592	5896.19700707837	6174.5714533504
"22"	"03/07/22"	"16:45:25"	6268.47004989806	6328.72177086634	6904.39790478137	8236.58604184731	11609.6607319374	6615.14119846924	8745.21122213566
"23"	"03/07/22"	"17:03:05"	602.326568254321	139934.776242684	138927.098754167	171147.836190196	307278.346032971	50202.1699179965	49746.588770738
"24"	"03/07/22"	"17:11:11"	61.682920613622	5.40270959633469	-20.5497096034112	32.3261470555927	2709.70204870208	100.740059302678	79.0081976136752
"25"	"03/07/22"	"17:26:29"	-49.9614332019044	30.9347025758982	22.1874465068844	-46.9190227724433	35.793383867365	25.0967484989353	168.382080340854
"26"	"03/08/22"	"16:15:48"	98.931446927567	78.4533539125031	87.0112194177282	-83.8530606646052	55.5189920892511	52.5619883236402	-7.0929891745686
"27"	"03/08/22"	"16:18:43"	-282.548479639896	720.137275203848	46.1413628267437	107.99052830297	-36.0890107811835	8.51969323503019	112.928238420318
